GO:0003677	DNA binding
GO:0072587	DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activator activity
GO:0110035	rDNA spacer replication fork barrier binding, bending
GO:0003713	transcription coactivator activity
GO:0003712	transcription coregulator activity
GO:0003714	transcription corepressor activity
GO:0004879	nuclear receptor activity
GO:0030374	nuclear receptor coactivator activity
GO:0140536	nuclear receptor corepressor activity
GO:0000995	RNA polymerase III general transcription initiation factor activity
GO:0016987	sigma factor activity
GO:0016251	RNA polymerase II general transcription initiation factor activity
GO:0001139	RNA polymerase II complex recruiting activity

